name,number of categories
5 Days to a Better Accent,1
3 Minute Spanish - Course 1,1
The Complete Splunk Beginner Course,1
World-Class HR 21st Century Talent Management,1
Algorithmic Trading In Forex Create Your First Forex Robot!,1
The Ultimate Hands-On Hadoop - Tame your Big Data!,1
The Complete Bitcoin Course Get .0001 BTC In Your Wallet,1
2018 Blog Blueprint How To Turn Blogging Into A Career,1
The Secrets of Successful Russian - Learn Russian Quickly,1
Accounting in 60 Minutes - A Brief Introduction,1
The Complete Investment Banking Course 2018,1
The Complete Financial Analyst Course 2018,1
Advanced English Grammar A Comprehensive Guide,1
The Complete Shopify Aliexpress Dropship course,1
Python A-Z™ Python For Data Science With Real Exercises!,1
Bayesian Machine Learning in Python A/B Testing,1
Machine Learning A-Z™ Hands-On Python & R In Data Science,1
Easy English Grammar - Improve your English in 6 Easy Steps,1
Master The English Verb Tenses,1
Master Polite English,1
Master Course in Tableau 10 & 2018 for Business Intelligence,1
Master 120 common phrasal verbs,1
English Grammar Launch Advanced Upgrade your speaking,1
English Grammar Launch Upgrade your speaking and listening,1
Online Japanese Beginner Course (All 12 lessons）,1
MSA Arabic complete course - For foreigners! Beginner to Pro,1
English Grammar Refresher,1
English Speaking Patterns Mastery Upgrade your English,1
English Vocabulary Launch Upgrade your speaking,1
English punctuation made easy,1
Everyday English for ESL,1
Mastering IELTS Writing Task 1 (Academic),1
Mastering IELTS Writing Task 2 (Achieve Band 7+ in 5 Hours),1
Mastering IELTS Writing Task 2 (Band 9 Model Answers),1
Deutsch Intensiv - Intensive German Course for Beginners,1
Microsoft Power BI - A Complete Introduction,1
Microsoft Power BI - Up & Running With Power BI Desktop,1
"Deep Learning and Computer Vision A-Z™ OpenCV, SSD & GANs",1
Deep Learning Convolutional Neural Networks in Python,1
Mini Grammar Tests,1
Deep Learning A-Z™ Hands-On Artificial Neural Networks,1
Data Science and Machine Learning Bootcamp with R,1
Data Science Natural Language Processing (NLP) in Python,1
Data Science Deep Learning in Python,1
Data Science A-Z™ Real-Life Data Science Exercises Included,1
Natural Language Processing with Deep Learning in Python,1
Cryptocurrency Trading Course 2018 Make Profits Daily!,1
Cryptocurrency Investment Course 2018 Fund your Retirement!,1
Learn to Speak Conversational French - French For Beginners,1
Learn to Sell Anything by Grant Cardone,1
Learn to Read Biblical Hebrew,1
Formal Email Writing - Business English,1
Hebrew For Beginners,1
How To Make A Great First Impression,1
Grammar Boot Camp Easy Lessons for Common Writing Mistakes,1
Google Analytics For Beginners,1
Get 7-9 in IELTS Speaking IELTS Speaking Masterclass,1
German for beginners (A1 - Part 1/5),1
How to Learn and Memorize the Vocabulary of Any Language,1
How to Start an Amazon FBA Store on a Tight Budget,1
German Made Simple A Complete Course for Serious Learners,1
How to come up with killer business ideas complete workshop,1
How to do a Hebrew Word Study Without Knowing Hebrew,1
Fundamentals of Business Analysis,1
French for Beginners  Level 1,1
French Level 1 Introduction to French,1
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,1
Express IELTS 7.0+ Preparation Formula,1
Intensive English Language Course for Beginners (A1-A2),1
Forex Robots Expect To Earn 175% P.A. Forex Robot Included!,1
"Introduction to Finance, Accounting, Modeling and Valuation",1
Japanese in 14 Weeks with Scientific Memorization Method,1
Leadership Practical Leadership Skills,1
Learn Cryptocurrency AltCoin Trading and ICO Investing,1
Learn English Speaking Course-How To Speak English Fluently,1
Learn German Language Complete German Course - Beginners,1
Learn Italian Language Complete Italian Course - Beginners,1
Learn Japanese for Beginners The Ultimate 100-Lesson Course,1
Learn Korean! Start Speaking Korean Now!,1
Learn Spanish - Conversational Spanish Made Easy,1
Learn Spanish Complete Spanish Course Spanish for Beginners,1
Fastbreak Spanish Save Time and Memory,1
Ninja Writing The Four Levels Of Writing Mastery,1
Online Japanese N2 Course(All 10 lessons),1
Become a Product Manager  Learn the Skills & Get the Job,1
Blockchain A-Z™ Learn How To Build Your First Blockchain,1
Beginning Project Management Project Management Level One,1
Big Data and Hadoop for Beginners - with Hands-on!,1
Black Algo Trading Build Your Trading Robot,1
Six Sigma Yellow Belt,1
Six Sigma White Belt,1
Six Sigma Green Belt,1
Seth Godin's Freelancer Course,1
Online Japanese N3 Course(All 10 lessons),1
Security Awareness Training,1
Build a Dropshipping Empire From Scratch. Proven Blueprint,1
Scala and Spark for Big Data and Machine Learning,1
Sales Training Practical Sales Techniques,1
Build a Shopify Dropshipping Business from Scratch,1
SQL - MySQL for Data Analytics and Business Intelligence,1
Beginner to Pro in PowerPoint Complete PowerPoint Training,1
Solve Communication Problems in Real Time ESL English Course,1
Beginner to Pro in Excel Financial Modeling and Valuation,1
"Spanish 1-4 Beginner, Elementary, Intermediate and Advanced",1
Spanish for Beginners. The complete Method. Level 1,1
Speak English With Confidence English Conversation Course,1
Start Trading Stocks Using Technical Analysis!,1
Start and Run a Successful Web Design Business from Home,1
Statistics for Business Analytics and Data Science A-Z™,1
Statistics for Data Science and Business Analysis,1
Survive Italy Without Being Fluent in Italian,1
TOEFL English Vocabulary,1
Tableau 10 A-Z Hands-On Tableau Training For Data Science!,1
Tableau 10 Advanced Training Master Tableau in Data Science,1
Tableau for Beginners - Get Certified Accelerate Your Career,1
Taming Big Data with MapReduce and Hadoop - Hands On!,1
Taming Big Data with Spark Streaming and Scala - Hands On!,1
SQL & Database Design A-Z™ Learn MS SQL Server + PostgreSQL,1
Building Your English Brain,1
Business Analysis Fundamentals - 2018,1
Complete English Course Learn English Language  Beginners,1
Online Japanese N4 Course(All 15 lessons),1
Online Japanese N5 Course(All 15 lessons),1
Options Trading - How to Win with Weekly Options,1
Options Trading Basics (3-Course Bundle),1
PMI-ACP Agile Certified Exam Prep - PMI REP 21 PDUs,1
PMP EXAM PREP-Project Management Professional FULL TRAINING,1
PMP Exam Prep Earn Your PMP Certification,1
PMP Exam Prep Seminar -  PMBOK Guide 6,1
PMP® Exam Prep 2018  2 Full Real Exams &Detailed PMP Math,1
Conversational French Made Easy,1
Perfect English Pronunciation British English,1
Complete Russian Language course for Beginners A1,1
Perfect Your German Tips & Tricks to Avoid Common Mistakes,1
Complete Python Bootcamp Go from zero to hero in Python 3,1
Power BI A-Z Hands-On Power BI Training For Data Science!,1
Business English Course for ESL Students,1
Chinese Made Easy L1 Understand 65% of Chinese in 10 hours,1
Powerful speaking,1
Practice and Perfect your French - Intermediate Level (HD),1
CORE KOREAN 1 Build up Korean Foundations through Practice,1
Product Management 101,1
CORE CHINESE 1 Build Up Chinese Foundations by Practice,1
Project Management Professional (PMP)® - 35 Contact Hours,1
Python for Data Science and Machine Learning Bootcamp,1
Python for Finance Investment Fundamentals & Data Analytics,1
R Programming A-Z™ R For Data Science With Real Exercises!,1
R Programming Advanced Analytics In R For Data Science,1
"CAPM Exam Prep Seminar - PMBOK Guide, Sixth Edition",1
CAPM Exam Prep Earn Your CAPM Certification,1
Robotic Process Automation - RPA Overview,1
#1 Cryptocurrency Long-term Investment Opportunity 2017/2018,1
